id,region,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021
ZZF.EAP,East Asia and the Pacific,9357.723849,9991.529671,10546.68782,11238.99492,11805.22066,12462.29484,13202.09732,13904.11501,14621.33428,14622.6361,15580.43686
ZZG.ECA,Europe and Central Asia,14627.69645,15161.40943,15938.93486,16281.68629,16663.66528,16729.09393,17400.71295,17861.2888,18027.10959,18031.67782,19351.83702
ZZH.LAC,Latin America and the Caribbean,14908.2416,15182.34194,15491.84989,15516.66697,15441.8236,15116.5092,15126.06718,15057.3943,14895.53164,13727.0032,14520.66124
ZZI.SA,South Asia,4635.989136,4741.28984,4923.642694,5183.331005,5449.187212,5789.022974,6116.711799,6355.589677,6471.972919,6077.350961,6481.393135
ZZJ.SSA,Sub-Saharan Africa,3482.800168,3551.647275,3639.137221,3763.856396,3803.834306,3772.922733,3754.362823,3755.151307,3778.105787,3629.618138,3698.868914
ZZK.WORLD,World,14069.2191,14356.94128,14627.80308,14985.56805,15326.54803,15614.11875,16022.41006,16372.22453,16652.53351,15963.88897,16752.08292
