iso3,region,eys_2011,eys_2012,eys_2013,eys_2014,eys_2015,eys_2016,eys_2017,eys_2018,eys_2019,eys_2020,eys_2021
ZZF.EAP,East Asia and the Pacific,12.45174611,12.65334559,12.81640937,13.05330247,13.24065845,13.37943138,13.56431182,13.67062317,13.8443194,13.81843244,13.81681848
ZZG.ECA,Europe and Central Asia,13.56969982,13.71178776,14.47102196,14.684491,14.86454473,15.05385803,15.2158466,15.32536139,15.44865024,15.45555013,15.44654599
ZZH.LAC,Latin America and the Caribbean,13.7558536,13.80949078,14.3501043,14.43225309,14.482245,14.62835752,14.65471027,14.75489325,14.77732941,14.77075792,14.76795558
ZZI.SA,South Asia,10.66502516,10.91913853,10.96310888,11.2566138,11.38023828,11.73124653,11.61688226,11.45509424,11.27992887,11.568208,11.56220838
ZZJ.SSA,Sub-Saharan Africa,9.460569431,9.546207198,9.690278328,9.793646386,9.894703211,9.981368619,10.03836293,10.13225756,10.25371274,10.2728453,10.26733831
ZZK.WORLD,World,11.95870578,12.10604749,12.25880335,12.41958757,12.52689342,12.69041826,12.70857121,12.71266213,12.73180419,12.79892468,12.7809066
