id,HDI level,eys_2011,eys_2012,eys_2013,eys_2014,eys_2015,eys_2016,eys_2017,eys_2018,eys_2019,eys_2020,eys_2021
ZZA.VHHD,Very high human development,15.55992651,15.60602336,15.93938597,16.13168521,16.23773984,16.32540238,16.36173117,16.41459297,16.5098853,16.50484703,16.50648507
ZZB.HHD,High human development,12.93491231,13.15265166,13.41077366,13.53378721,13.71137077,13.86006684,13.99544096,14.10364245,14.22543531,14.22108749,14.21928738
ZZC.MHD,Medium human development,11.09379563,11.32589979,11.37088936,11.62921535,11.75319765,12.04724083,11.99328669,11.84320021,11.69299994,11.94542207,11.94485511
ZZD.LHD,Low human development,8.437014399,8.53044712,8.666080002,8.818199426,8.935608956,9.081093647,9.126376138,9.279799787,9.445054532,9.459424459,9.459356687
