id,country,HDI Code,Coefficient of Human Inequality,Overall loss (%),Inequality in life expectancy,Inequality in eduation,Inequality in income
PRT,Portugal,Very High,10.56989309,10.73903002,3.195029259,13.05276,15.46189
PRY,Paraguay,High,18.32046414,18.82845188,11.36716843,13.15316,30.441064
PSE,"Palestine, State of",High,17.62148711,18.32167832,10.249897,10.97456434,31.64
QAT,Qatar,Very High,,,3.872181892,11.22725944,
ROU,Romania,Very High,10.40918618,10.71863581,4.896038532,5.43438,20.89714
RUS,Russian Federation,Very High,8.408886355,8.637469586,5.545659065,2.036,17.645
RWA,Rwanda,Low,24.64764153,24.71910112,19.39137459,27.35907,27.19248
SAU,Saudi Arabia,Very High,,,5.103935719,18.11940114,
SDN,Sudan,Low,33.47931716,33.85826772,24.98774147,42.45021,33.0
SEN,Senegal,Low,29.54915667,30.72407045,18.12817001,47.1353,23.384
SGP,Singapore,Very High,12.40971664,12.99254526,2.261428118,10.00732115,24.96040064
SLB,Solomon Islands,Medium,,,12.07949352,,
SLE,Sierra Leone,Low,34.15862986,35.22012579,35.11730957,47.50289,19.85569
SLV,El Salvador,Medium,18.60811171,18.81481481,9.549283028,23.7938081,22.481244
SMR,San Marino,Very High,,,2.832036257,5.562256324,
SOM,Somalia,,,,38.33179855,,24.35
SRB,Serbia,Very High,9.933117503,10.2244389,4.10859251,7.19484,18.49592
SSD,South Sudan,Low,36.25986686,36.36363636,36.97409058,39.55255,32.25296
STP,Sao Tome and Principe,Medium,18.42481067,18.60841424,10.36841202,18.69702,26.209
SUR,Suriname,High,25.34968467,27.12328767,10.98505402,18.36769,46.69631
SVK,Slovakia,Very High,5.168764951,5.306603774,4.692834854,1.74792,9.06554
SVN,Slovenia,Very High,4.371241934,4.357298475,2.748835802,2.05965,8.30524
SWE,Sweden,Very High,6.416554863,6.546990496,2.610124588,3.8679,12.77164
SWZ,Eswatini (Kingdom of),Medium,28.60195229,28.97822446,23.79930687,24.10655,37.9
SYC,Seychelles,High,15.14949785,15.79617834,9.446657181,6.65648,29.34535638
SYR,Syrian Arab Republic,Medium,,,12.98532009,,
TCD,Chad,Low,35.99797978,36.29441624,38.55884933,42.9329,26.50219
TGO,Togo,Low,30.7737213,30.98330241,27.74024391,37.72766,26.85326
THA,Thailand,Very High,14.16798364,14.25,6.868660927,16.84539,18.7899
TJK,Tajikistan,Medium,12.34022282,12.55474453,16.51501846,6.03825,14.4674
TKM,Turkmenistan,High,16.37204107,16.91275168,19.9665432,2.94467,26.20491
TLS,Timor-Leste,Medium,26.24257376,27.51235585,20.22848129,44.91179,13.58745
TON,Tonga,High,10.43202966,10.60402685,8.745738983,4.30943,18.24092
TTO,Trinidad and Tobago,Very High,,,10.87518406,,
TUN,Tunisia,High,19.18297336,19.5622435,9.956520081,30.70285,16.88955
TUR,Turkey,Very High,14.195661,14.43914081,5.864824295,13.64287582,23.07928288
TUV,Tuvalu,Medium,15.49879814,15.60062402,14.37229443,9.17696,22.94714
TZA,Tanzania (United Republic of),Low,23.69202603,23.86156648,21.7159481,26.96013,22.4
UGA,Uganda,Low,24.41962152,24.57142857,20.4040966,27.91438,24.94038796
UKR,Ukraine,High,5.967098327,6.080206986,5.777312279,3.59926,8.524722702
URY,Uruguay,Very High,11.83641913,12.23733004,5.416339397,6.54951,23.543408
