id,region,mys_2011,mys_2012,mys_2013,mys_2014,mys_2015,mys_2016,mys_2017,mys_2018,mys_2019,mys_2020,mys_2021
ZZF.EAP,East Asia and the Pacific,7.032913853,7.130260033,7.228009363,7.317598681,7.409795793,7.497073926,7.583666913,7.687780777,7.814255881,7.837973041,7.839329253
ZZG.ECA,Europe and Central Asia,9.949724183,10.01263242,10.07595227,10.14771749,10.20987179,10.31212459,10.38367958,10.46487491,10.55859175,10.56078456,10.55392208
ZZH.LAC,Latin America and the Caribbean,7.92988075,8.107919513,8.175572427,8.277193052,8.392843348,8.563353923,8.686375809,8.823468465,8.961853475,9.002487801,8.997700378
ZZI.SA,South Asia,5.478807466,5.679542914,5.860109648,6.0721201,6.322117607,6.416900575,6.509208341,6.575294597,6.643786307,6.713271889,6.710321247
ZZJ.SSA,Sub-Saharan Africa,5.01495349,5.120677665,5.232873384,5.330748916,5.458183122,5.593756666,5.703195419,5.871269215,6.022654844,6.013023718,6.001639422
ZZK.WORLD,World,7.872438631,7.981302237,8.069451344,8.166999278,8.278372445,8.360726719,8.439512571,8.520605764,8.612013369,8.635056813,8.617460722
