iso3,country,HDI_Code,ihdi_2021,Coefficient_of_Human Inequality,Overall loss (%),Inequality_in_life_expectancy(%),Inequality_in_eduation(%),Inequality_in_income(%)
CIV,Côte d'Ivoire,Medium,0.358,34.3359808,34.90909091,30.35745239,45.60904,27.04145
CMR,Cameroon,Medium,0.393,31.72993835,31.77083333,28.48371506,31.71699,34.98911
COD,Congo (Democratic Republic of the),Low,0.341,28.68733521,28.81002088,31.66004562,26.76947,27.63249
COG,Congo,Medium,0.432,24.30610437,24.34325744,20.98684311,20.93222,30.99925
COL,Colombia,High,0.589,20.57743344,21.67553191,9.370814323,14.64929,37.712196
COM,Comoros,Medium,0.31,43.06900853,44.44444444,25.57926559,47.61438,56.01338
CRI,Costa Rica,Very High,0.664,16.96065133,17.92336218,5.891644001,11.57677,33.41354
CYP,Cyprus,Very High,0.819,8.399155342,8.59375,2.644016027,9.5209,13.03255
CZE,Czechia,Very High,0.85,4.378451583,4.386951631,3.112524748,1.25563,8.7672
DEU,Germany,Very High,0.883,6.177129593,6.263269639,3.408158779,2.6632,12.46003
DNK,Denmark,Very High,0.898,5.186913722,5.274261603,3.006301165,2.50376,10.05068
DOM,Dominican Republic,High,0.618,19.4119047,19.42633638,17.5623951,15.04513,25.628189
DZA,Algeria,High,0.598,19.07287475,19.73154362,12.43080425,33.28262,11.5052
ECU,Ecuador,High,0.604,17.76487784,18.37837838,8.870192528,13.3739,31.050541
EGY,Egypt,High,0.519,28.03942983,29.00136799,10.67237949,36.94291,36.503
ESP,Spain,Very High,0.788,12.64302265,12.9281768,2.883327961,15.73379,19.31195
EST,Estonia,Very High,0.829,6.647519602,6.853932584,2.925558805,2.02737,14.98963
ETH,Ethiopia,Low,0.363,25.99192684,27.10843373,23.12960052,42.77036,12.07582
FIN,Finland,Very High,0.89,5.224387065,5.319148936,2.774231195,2.41555,10.48338
FRA,France,Very High,0.825,8.485328055,8.637873754,3.816274166,7.72173,13.91798
GAB,Gabon,High,0.554,21.46330738,21.52974504,19.69610405,23.47992,21.2138981
GBR,United Kingdom,Very High,0.85,8.243507931,8.503767492,3.913083792,2.84785,17.96959
GEO,Georgia,Very High,0.706,11.41161372,11.97007481,6.600036144,2.784805013,24.85
GHA,Ghana,Medium,0.458,27.33194806,27.53164557,22.75168419,35.10167,24.14249
GIN,Guinea,Low,0.299,34.33844766,35.69892473,35.05346298,50.12411,17.83777
GMB,Gambia,Low,0.348,29.27151682,30.4,23.34724045,47.00005,17.46726
GNB,Guinea-Bissau,Low,0.306,36.50182103,36.64596273,29.51842308,42.08704,37.9
GRC,Greece,Very High,0.791,10.66271436,10.82299887,3.612533092,11.73784,16.63777
GTM,Guatemala,Medium,0.46,26.12651356,26.63476874,13.86461067,34.95493,29.56
GUY,Guyana,High,0.591,17.094939,17.22689076,15.75936699,10.42545,25.1
HKG,"Hong Kong, China (SAR)",Very High,0.828,12.42997802,13.02521008,2.05559516,9.671619265,25.56271964
HND,Honduras,Medium,0.479,22.2190672,22.86634461,10.1333456,21.61233,34.911526
HRV,Croatia,Very High,0.797,6.984191534,7.10955711,3.756904602,4.24197,12.9537
HTI,Haiti,Low,0.327,38.1192817,38.87850467,26.58240509,37.33677,50.43867
HUN,Hungary,Very High,0.792,6.37034972,6.382978723,3.953909159,2.86309,12.29405
IDN,Indonesia,High,0.585,16.86744309,17.0212766,13.23504257,17.25001669,20.11727
IND,India,Medium,0.475,24.39381027,24.96050553,16.93670082,36.87573,19.369
IRL,Ireland,Very High,0.886,6.161783203,6.243386243,2.825729609,3.39666,12.26296
IRN,Iran (Islamic Republic of),High,0.686,11.07722438,11.36950904,8.532962799,4.984428444,19.71428189
IRQ,Iraq,Medium,0.554,18.80229155,19.24198251,13.98201466,29.74591,12.67895
ISL,Iceland,Very High,0.915,4.556437474,4.588112617,1.954472423,2.20077,9.51407
ISR,Israel,Very High,0.815,10.86813024,11.31664853,3.198390722,6.272,23.134
ITA,Italy,Very High,0.791,11.22130912,11.62011173,2.737157345,10.05442,20.87235
JAM,Jamaica,High,0.591,15.73566602,16.64315938,8.725048065,6.51579,31.96616
JOR,Jordan,High,0.617,14.20510318,14.30555556,9.261599541,15.44186,17.91185
JPN,Japan,Very High,0.85,7.894689109,8.108108108,2.510178328,4.511,16.662889
KAZ,Kazakhstan,Very High,0.755,6.925083065,6.905055487,7.268719196,3.16666,10.33987
KEN,Kenya,Medium,0.426,25.6850841,25.91304348,21.01152229,22.89552,33.14821
KGZ,Kyrgyzstan,Medium,0.627,9.226713037,9.393063584,10.48529911,3.36425,13.83059
KHM,Cambodia,Medium,0.479,19.00450602,19.22428331,15.36655807,27.30485,14.34211
KIR,Kiribati,Medium,0.516,17.15409705,17.30769231,22.46889114,9.63653,19.35687
KOR,Korea (Republic of),Very High,0.838,9.264535208,9.405405405,2.827563286,8.836042338,16.13
LAO,Lao People's Democratic Republic,Medium,0.459,24.17681998,24.38220758,20.62915993,31.31796,20.58334
LBR,Liberia,Low,0.33,30.66384255,31.39293139,30.12607765,42.11968,19.74577
LCA,Saint Lucia,High,0.559,21.32341215,21.81818182,9.268698692,27.30567775,27.39586
LKA,Sri Lanka,High,0.676,13.18638698,13.55498721,5.198720932,11.99693,22.36351
LSO,Lesotho,Low,0.372,27.39429777,27.62645914,33.0491333,19.55712,29.57664
LTU,Lithuania,Very High,0.8,8.316025071,8.571428571,4.317045212,3.57741,17.05362
LUX,Luxembourg,Very High,0.85,8.413193197,8.602150538,3.870309591,4.71707,16.6522
LVA,Latvia,Very High,0.792,7.961744167,8.227114716,4.207252502,2.22774,17.45024
MAR,Morocco,Medium,0.504,25.09769131,26.2079063,10.91862392,41.87093,22.50352
MDA,Moldova (Republic of),High,0.711,7.297466136,7.301173403,8.885082245,2.570094084,10.43722208
MDG,Madagascar,Low,0.367,26.85263932,26.74650699,23.65509796,29.34582,27.557
MDV,Maldives,High,0.594,19.76629861,20.48192771,4.133515835,29.31948,25.8459
MEX,Mexico,High,0.621,17.59461132,18.07387863,9.496991158,13.48795481,29.798888
MKD,North Macedonia,High,0.686,10.64682541,10.90909091,4.415046215,8.36817,19.15726
MLI,Mali,Low,0.291,31.07790617,32.00934579,32.81034851,43.85965,16.56372
